clinician_id,clinician_code,provider_id,role,specialty,grade_band,sex,ethnicity_ons,fte,start_date,end_date,is_active
1,CLN000001,1,Physiotherapist,Cardiology,GP Partner,F,Other,0.5,2011-12-24,,True
2,CLN000002,1,Consultant,Diabetes,Band 7,M,Mixed,0.65,2018-05-26,2021-09-12,False
3,CLN000003,1,Consultant,Radiology,GP Partner,M,White,0.52,2022-03-21,,True
4,CLN000004,1,Radiologist,Primary Care,Band 8a,F,White,0.99,2022-04-20,,True
5,CLN000005,1,Physiotherapist,Primary Care,Band 7,F,Black,0.67,2020-04-06,2021-07-18,False
6,CLN000006,1,Radiologist,Radiology,Consultant,M,White,0.87,2009-01-25,,True
7,CLN000007,1,Radiologist,Geriatrics,Band 6,F,White,0.57,2021-02-20,,True
8,CLN000008,1,Radiologist,Diabetes,Band 5,F,White,0.91,2018-07-08,,True
9,CLN000009,1,Registrar,Diabetes,Band 6,M,White,0.82,2014-03-27,,True
10,CLN000010,1,Registrar,Mental Health,Band 6,F,White,0.47,2015-05-09,,True
11,CLN000011,1,Registrar,Primary Care,Band 8a,F,White,0.86,2011-12-19,,True
12,CLN000012,1,Consultant,Primary Care,Band 5,M,White,0.98,2008-11-07,,True
13,CLN000013,1,Consultant,Physiotherapy,GP Partner,F,White,0.51,2014-01-13,,True
14,CLN000014,1,Staff Nurse,Radiology,Band 6,M,White,0.88,2021-02-18,,True
15,CLN000015,1,Staff Nurse,Respiratory,Band 5,M,White,0.82,2019-05-09,,True
16,CLN000016,1,Consultant,General Medicine,ST3,F,White,0.76,2009-08-23,,True
17,CLN000017,1,Radiologist,Primary Care,ST3,M,White,0.74,2020-10-13,,True
18,CLN000018,1,Physiotherapist,Cardiology,Band 8a,F,Mixed,0.94,2009-04-23,,True
19,CLN000019,1,Physiotherapist,Geriatrics,Band 5,F,White,0.52,2010-09-04,2023-08-26,False
20,CLN000020,1,Physiotherapist,Mental Health,ST3,F,Other,0.69,2015-05-07,,True
21,CLN000021,1,Radiologist,Primary Care,ST3,F,White,0.77,2021-04-10,2023-02-11,False
22,CLN000022,1,Physiotherapist,Cardiology,GP Partner,F,White,0.84,2014-07-01,,True
23,CLN000023,1,Registrar,Primary Care,Band 5,F,White,0.67,2014-03-22,,True
24,CLN000024,1,Physiotherapist,Primary Care,ST3,F,White,0.87,2008-05-05,2017-10-21,False
25,CLN000025,1,Radiologist,Geriatrics,Band 8a,F,White,0.72,2019-01-05,,True
26,CLN000026,1,Consultant,Respiratory,Consultant,M,White,0.67,2019-08-24,2023-10-13,False
27,CLN000027,1,Physiotherapist,Cardiology,ST3,M,White,0.44,2010-02-26,,True
28,CLN000028,1,Consultant,Physiotherapy,ST3,F,White,0.52,2013-01-25,2019-07-16,False
29,CLN000029,1,Registrar,Diabetes,Band 7,F,White,0.43,2019-08-19,,True
30,CLN000030,1,Physiotherapist,Diabetes,Consultant,M,White,0.83,2012-03-08,,True
31,CLN000031,1,Staff Nurse,General Medicine,Band 5,M,White,0.88,2019-06-17,,True
32,CLN000032,1,Registrar,Geriatrics,Band 7,M,White,0.61,2018-11-01,,True
33,CLN000033,1,Registrar,Respiratory,Band 7,F,White,0.68,2015-04-12,,True
34,CLN000034,1,Radiologist,Mental Health,Band 6,F,Black,0.67,2008-03-10,,True
35,CLN000035,1,Registrar,General Medicine,Band 8a,F,White,0.46,2020-05-05,,True
36,CLN000036,1,Consultant,Emergency Medicine,GP Partner,F,Black,0.59,2011-06-26,,True
37,CLN000037,1,Physiotherapist,Physiotherapy,Band 8a,F,White,0.84,2015-10-11,,True
38,CLN000038,1,Registrar,Radiology,GP Partner,F,White,0.91,2009-05-10,,True
39,CLN000039,1,Registrar,Radiology,Band 6,M,White,0.92,2014-12-06,,True
40,CLN000040,1,Radiologist,Diabetes,GP Partner,M,White,0.77,2011-02-20,,True
41,CLN000041,1,Physiotherapist,Geriatrics,Band 5,F,White,0.76,2016-07-24,,True
42,CLN000042,1,Radiologist,General Medicine,Band 5,M,White,0.68,2009-02-21,,True
43,CLN000043,2,Consultant,Physiotherapy,ST3,F,White,0.47,2010-04-26,,True
44,CLN000044,2,Radiologist,Diabetes,Band 6,M,White,0.73,2022-12-02,,True
45,CLN000045,2,Physiotherapist,Diabetes,Band 8a,M,White,0.55,2020-06-23,,True
46,CLN000046,2,Registrar,Geriatrics,ST3,F,White,0.85,2009-03-08,,True
47,CLN000047,2,Registrar,Radiology,Band 8a,F,White,0.86,2012-06-24,,True
48,CLN000048,2,Registrar,Respiratory,Consultant,M,White,0.79,2011-06-07,,True
